DTmin 10.0
HS0 400.0 120.0 5.4
HS1 340.0 120.0 2.05
HS2 380.0 150.0 0.47
HS3 300.0 100.0 8.8
HS4 420.0 160.0 3.25
HS5 390.0 110.0 4.2
HS6 360.0 200.0 0.18
HS7 280.0 130.0 0.57
HS8 250.0 80.0 1.35
HS9 330.0 170.0 3.8
HS10 430.0 300.0 12.7
HS11 200.0 100.0 7.4
HS12 150.0 70.0 5.4
HS13 330.0 180.0 0.54
HS14 370.0 115.0 0.33
HS15 355.0 105.0 6.3
HS16 310.0 130.0 0.87
HS17 260.0 90.0 2.85
HS18 300.0 115.0 1.1
HS19 265.0 190.0 0.32
CS0 160.0 400.0 15.1
CS1 100.0 250.0 2.75
CS2 50.0 300.0 0.37
CS3 200.0 380.0 2.6
CS4 150.0 450.0 1.9
CS5 100.0 180.0 6.6
CS6 200.0 350.0 1.55
CS7 120.0 330.0 0.18
CS8 110.0 220.0 5.45
CS9 190.0 360.0 3.2
CS10 260.0 420.0 8.4
CS11 80.0 180.0 11.2
CS12 130.0 390.0 0.3
CS13 180.0 260.0 4.15
CS14 155.0 365.0 0.95
CS15 95.0 480.0 0.1
CS16 175.0 385.0 6.4
CS17 130.0 290.0 2.1
CS18 210.0 430.0 0.47
CS19 230.0 370.0 1.75
HU0 500.0 499.0 80.0
HU1 350.0 349.0 50.0
CU0 20.0 21.0 20.0
