Test case originally investigated by "Letsios, Kouyialis, Misener. Computers and Chemical Engineering 113, p. 57-85, 2018". 
Randomly generated by random procedure described in "Letsios, Kouyialis, Misener. Computers and Chemical Engineering 113, p. 57-85, 2018". 
 
DTmin 10
HS0 91 31 3.98
HS1 265 188 9.2
HS2 81 50 2.34
HS3 44 38 9.72
HS4 386 302 10.09
HS5 126 123 7.8
HS6 71 38 8.76
HS7 363 215 2.84
HS8 53 46 6.32
HS9 221 147 9.94
HS10 62 47 4.74
HS11 372 65 2.61
HS12 61 38 0.96
HS13 311 234 12.9
HS14 249 137 3.27
HS15 173 40 3.54
HS16 171 143 7.08
HS17 166 111 4.96
HS18 221 35 8.98
HS19 324 287 3.26
HS20 153 117 7.98
HS21 299 221 6.95
HS22 247 113 5.8
HS23 377 125 12.99
HS24 214 102 8.33
HS25 106 39 10.49
HS26 106 34 6.47
HS27 129 48 1.88
HS28 128 67 1.68
HS29 95 33 1.49
HS30 40 39 7.47
HS31 275 106 1.56
HS32 267 90 9.68
HS33 394 140 5.17
HS34 215 147 9.75
HS35 307 155 9.27
HS36 278 81 6.61
HS37 282 100 12.44
HS38 53 44 12.99
HS39 123 60 14.45
HS40 353 206 0.25
HS41 360 245 9.79
HS42 166 164 14.05
HS43 109 78 12.05
HS44 127 63 13.49
HS45 138 38 6.26
HS46 189 131 5.42
HS47 397 47 8.93
HS48 309 130 10.47
HS49 332 43 8.27
HS50 82 59 5.86
HS51 333 203 3.2
HS52 166 68 11.65
HS53 333 293 0.58
HS54 93 72 14.17
HS55 218 176 1.4
HS56 115 111 5.83
HS57 163 126 0.12
HS58 272 145 8.01
HS59 380 155 11.7
HS60 211 95 13.23
HS61 331 243 7.68
HS62 41 40 9.3
HS63 90 33 4.97
HS64 390 321 5.92
HS65 354 225 8.6
HS66 164 73 1.08
HS67 385 155 12.07
HS68 38 33 5.08
HS69 227 147 10.82
HS70 177 134 14.16
HS71 185 68 5.12
HS72 373 369 4.14
HS73 382 46 3.04
HS74 112 80 1.81
HS75 241 138 1.88
HS76 359 296 2.33
HS77 349 144 2.15
HS78 353 336 10.41
HS79 214 43 3.59
CS0 370 397 12.0
CS1 251 358 9.41
CS2 246 267 14.22
CS3 140 339 10.53
CS4 350 390 4.87
CS5 179 224 3.93
CS6 59 179 3.21
CS7 130 257 13.16
CS8 154 200 10.27
CS9 382 387 11.67
CS10 275 303 3.72
CS11 76 249 5.09
CS12 48 295 10.0
CS13 139 311 1.69
CS14 313 362 13.38
CS15 329 379 9.45
CS16 143 330 11.12
CS17 221 244 2.99
CS18 395 400 8.59
CS19 82 160 10.33
CS20 93 244 10.43
CS21 114 357 3.91
CS22 247 264 3.06
CS23 74 143 3.75
CS24 124 284 7.19
CS25 230 366 11.26
CS26 138 311 6.2
CS27 266 305 1.04
CS28 198 367 2.86
CS29 245 395 13.04
CS30 275 301 7.92
CS31 162 354 8.46
CS32 293 392 14.14
CS33 68 193 11.54
CS34 124 286 9.98
CS35 120 330 11.5
CS36 134 284 1.4
CS37 94 320 3.68
CS38 200 368 14.85
CS39 297 389 0.15
CS40 367 375 4.74
CS41 198 296 13.19
CS42 95 174 0.73
CS43 89 224 3.68
CS44 217 395 3.27
CS45 326 351 10.22
CS46 135 305 11.17
CS47 389 392 0.58
CS48 309 338 9.44
CS49 159 244 12.74
CS50 43 181 2.92
CS51 66 373 13.74
CS52 74 181 10.47
CS53 223 248 2.03
CS54 388 395 6.04
CS55 207 322 8.53
CS56 215 259 14.85
CS57 66 399 6.33
CS58 87 187 12.9
CS59 50 51 12.3
CS60 261 326 3.89
CS61 272 348 1.72
CS62 234 358 0.27
CS63 192 387 3.18
CS64 298 325 13.76
CS65 319 356 2.34
CS66 33 197 1.72
CS67 105 159 10.86
CS68 48 379 0.38
CS69 162 273 1.82
CS70 317 373 12.77
CS71 122 363 2.41
CS72 301 389 4.41
CS73 81 385 10.01
CS74 157 187 5.05
CS75 364 393 8.95
CS76 76 196 0.3
CS77 396 397 5.42
CS78 180 299 9.87
CS79 232 266 12.68
HU0 500 499 80
CU0 20 21 20
