DTmin 10
HS0 358 59 5.98
HS1 279 277 1.34
HS2 51 49 10.27
HS3 40 35 14.13
HS4 161 123 6.33
HS5 39 31 9.83
HS6 140 129 5.26
HS7 146 58 14.02
HS8 311 139 10.94
HS9 183 135 11.58
HS10 211 198 6.09
HS11 321 218 11.48
HS12 373 72 14.3
HS13 135 85 12.8
HS14 329 295 11.0
HS15 365 301 4.32
HS16 186 100 4.78
HS17 236 135 3.52
HS18 310 297 13.99
HS19 304 30 2.42
HS20 370 111 14.96
HS21 187 59 12.25
HS22 396 201 0.33
HS23 185 159 6.67
HS24 276 229 2.49
HS25 341 240 11.29
HS26 128 94 6.42
HS27 69 34 10.76
HS28 245 115 11.42
HS29 316 88 2.65
HS30 282 86 5.06
HS31 103 61 9.79
HS32 256 168 13.9
HS33 151 73 13.38
HS34 343 183 2.36
HS35 96 61 12.64
HS36 100 46 11.49
HS37 283 92 11.82
HS38 185 72 13.94
HS39 109 95 9.14
HS40 281 208 11.96
HS41 114 84 11.24
HS42 183 154 8.52
HS43 228 184 4.89
HS44 149 97 8.61
HS45 265 187 8.31
HS46 184 47 13.85
HS47 359 115 1.42
HS48 69 62 5.87
HS49 209 87 0.17
HS50 323 97 9.17
HS51 244 109 0.56
HS52 224 48 9.85
HS53 103 56 6.34
HS54 285 128 3.03
HS55 64 41 2.8
HS56 35 34 14.61
HS57 377 98 14.78
HS58 326 122 1.73
HS59 292 274 1.02
HS60 200 165 14.49
HS61 66 50 0.04
HS62 282 236 1.69
HS63 220 129 3.36
HS64 192 49 4.2
HS65 253 247 3.76
HS66 220 161 12.91
HS67 294 221 8.84
HS68 256 41 5.06
HS69 252 53 10.24
HS70 338 280 2.02
HS71 251 220 14.26
HS72 135 59 14.35
HS73 106 104 14.36
HS74 224 190 12.13
HS75 51 30 1.71
HS76 246 108 9.85
HS77 112 102 4.08
HS78 334 235 12.55
HS79 115 95 7.05
CS0 136 170 10.83
CS1 144 158 12.58
CS2 272 379 7.27
CS3 264 289 11.27
CS4 163 211 1.75
CS5 119 171 9.45
CS6 393 396 4.68
CS7 276 368 9.96
CS8 367 385 12.27
CS9 122 210 14.92
CS10 150 205 12.15
CS11 224 264 7.71
CS12 152 240 14.93
CS13 195 322 3.94
CS14 392 395 8.66
CS15 267 300 3.01
CS16 86 133 10.92
CS17 253 290 11.73
CS18 355 365 5.8
CS19 46 228 4.29
CS20 181 265 0.99
CS21 55 301 1.23
CS22 357 399 8.94
CS23 91 160 8.28
CS24 195 225 4.71
CS25 108 121 14.68
CS26 42 316 7.94
CS27 330 382 3.4
CS28 345 385 8.14
CS29 141 242 7.02
CS30 155 218 7.22
CS31 87 245 8.54
CS32 127 142 12.46
CS33 369 389 9.0
CS34 207 334 8.04
CS35 321 368 2.63
CS36 101 277 9.56
CS37 331 367 12.16
CS38 335 364 5.47
CS39 277 305 1.3
CS40 309 369 13.52
CS41 355 370 2.39
CS42 259 359 12.08
CS43 108 369 6.18
CS44 167 235 12.01
CS45 274 292 8.84
CS46 285 293 9.67
CS47 283 327 5.75
CS48 189 354 3.32
CS49 205 342 11.76
CS50 314 398 0.22
CS51 135 151 9.56
CS52 210 285 12.38
CS53 395 396 9.72
CS54 184 210 13.5
CS55 177 316 14.04
CS56 241 362 1.35
CS57 312 381 4.38
CS58 366 382 7.18
CS59 149 193 7.21
CS60 380 397 10.42
CS61 293 365 3.04
CS62 266 329 11.01
CS63 153 241 3.34
CS64 288 315 3.62
CS65 233 258 14.63
CS66 376 395 1.1
CS67 333 394 8.42
CS68 40 318 10.34
CS69 258 265 5.08
CS70 168 384 8.61
CS71 109 153 2.07
CS72 315 355 12.41
CS73 380 400 6.53
CS74 370 372 6.0
CS75 360 399 6.73
CS76 395 396 7.84
CS77 50 264 7.22
CS78 241 322 3.8
CS79 274 376 12.1
HU0 500 499 80
CU0 20 21 20
